"","cluster","Avg. SIMCE Lang","Avg. SIMCE Math","Public","SEP status","% Priority Students","&#916; Obs-Pred D1","&#916; Obs-Pred D2","&#916; Obs-Pred D9","&#916; Obs-Pred D10"
"20","Cluster 1
Increase att",267,263,0,1,0.456332,0.0880964669488933,0.130940627850708,0.0785033732980003,-0.0673813724017278
"21","Cluster 1
Increase att",260,253,0,0,0.256071,0.0623040576596336,0.0624544406301997,0.0465841380661622,0.0187671426331342
"22","Cluster 1
Increase att",272,265,0,1,0.505814,0.147496105019762,0.179975240009136,0.0102500800601851,0.0336004072918665
"23","Cluster 1
Increase att",274,259,0,1,0.568282,0.0522346525874565,0.166250295073371,0.0774491572100302,0.05418577906277
"24","Cluster 1
Increase att",257,262,0,1,0.412736,0.0660289149756431,-0.101349447017298,0.0344014545931131,0.0232465765590489
"25","Cluster 1
Increase att",243,218,1,1,0.770492,0.268650142524503,-0.259294252510086,0.0562914465201934,0.0380705923578835
"26","Cluster 1
Increase att",244,253,1,1,0.530769,-0.44439053279893,0.199652701938889,0.0320459776471151,0.0477683831286246
"27","Cluster 2
Lower att (bottom)",272,277,1,1,0.76087,-0.802393436942233,-0.614111554730445,-0.0247412749105982,0.0212340289917643
"28","Cluster 1
Increase att",242,254,1,1,0.55706,-0.122579107975415,-0.055782999393179,0.0398878099879261,0.0672137666897936
"29","Cluster 1
Increase att",232,208,1,1,0.633333,0.173131882500354,0.0219483521200037,0.0513413376141351,-0.117833968304584
"30","Cluster 2
Lower att (bottom)",267,264,1,1,0.654676,-0.187587096437977,-0.116033600838883,0.103973356952893,0.119559721429104
"31","Cluster 1
Increase att",239,218,1,1,0.606178,-0.0875603621386655,-0.134249398004332,0.0694470971459112,-0.0378116712652068
"32","Cluster 2
Lower att (bottom)",237,234,1,1,0.69869,-0.206565085079585,-0.13159118653053,0.0308125210247276,0.0163259158051783
"33","Cluster 1
Increase att",233,233,1,1,0.729282,-0.279068988355144,0.145725114284828,0.195303614280375,0.0717618430832744
"34","Cluster 1
Increase att",253,236,1,1,0.630137,-0.188922865250365,0.00989053606344426,0.053628852027617,0.00796907958423709
"35","Cluster 2
Lower att (bottom)",261,281,1,1,0.66167,-0.511023019096295,-0.494273324260354,0.000400284993008038,0.0365379121751106
"36","Cluster 1
Increase att",245,256,1,1,0.60424,-0.0954190655039312,0.0731515144838558,0.0801095300650101,0.0568940094494383
"37","Cluster 1
Increase att",234,234,1,1,0.58547,-0.0907315660967885,0.183924028323339,0.0250486080539414,0.0169703577117689
"38","Cluster 1
Increase att",246,230,1,1,0.787072,0.118796803417827,0.0523924509001753,0.128382727639776,-0.00121851876335533
"39","Cluster 1
Increase att",224,225,1,1,0.729323,0.487510351995873,0.383388398399056,0.0159862334607604,0.0966328052425404
"40","Cluster 2
Lower att (bottom)",232,261,1,1,0.635135,0.244334801977705,-0.417816455111216,-0.895718142696232,0.0617475207166707
"41","Cluster 1
Increase att",231,224,1,1,0.721154,-0.19047994190872,0.511977930683082,0.13022816432632,0.0551451145624851
"42","Cluster 1
Increase att",292,282,1,1,0.730469,0.0672803879461399,0.0875006111693487,0.187238220433438,0.0921663224875501
"43","Cluster 2
Lower att (bottom)",257,253,1,1,0.729958,-0.139875839183853,0.062191853070948,0.0924567383341857,0.01913572204904
"44","Cluster 1
Increase att",238,243,1,1,0.647668,0.171701231421912,-0.086179006553224,0.0618971142895086,0.0987831115296017
"45","Cluster 1
Increase att",274,281,1,1,0.565465,-0.179728936093059,-0.102363748950498,0.0367833734474762,0.0496190089599968
"46","Cluster 2
Lower att (bottom)",258,258,1,1,0.628664,-0.0113100725924347,-0.0915752195397697,0.110730204007914,-0.334927001070139
"47","Cluster 1
Increase att",217,197,1,1,0.753704,-0.120328921932303,0.124235920692764,0.0806699157060089,0.0563669255029244
"48","Cluster 1
Increase att",223,252,1,1,0.58042,-0.0566295313635887,0.0965837224101432,0.0388006275197827,0.105437128105786
"49","Cluster 1
Increase att",278,230,1,1,0.725146,-0.251296403280293,0.186628002891753,0.11490540538211,0.0176203674607525
"50","Cluster 1
Increase att",262,222,1,1,0.632035,-0.179234253913143,-0.104762478005167,0.104087822663625,0.108506415782049
"51","Cluster 2
Lower att (bottom)",199,237,1,1,0.747253,-0.0882055979018498,-0.296916982935927,0.103968945940509,0.11875955736391
"52","Cluster 1
Increase att",252,257,1,1,0.66147,-0.0902137316107321,0.111821448367065,0.0686902459141261,0.0705675111176282
"53","Cluster 2
Lower att (bottom)",218,241,1,1,0.650602,-0.0948111252508032,-0.0557029177613246,0.0232788401117459,0.015709287539703
"54","Cluster 1
Increase att",239,217,1,1,0.725857,-0.0738691530478703,0.0934370819146355,0.100308689265319,0.225508887110632
"55","Cluster 1
Increase att",224,226,1,1,0.744493,0.0867623761586098,0.133453541287404,0.205311544831714,0.116007031225283
"56","Cluster 1
Increase att",247,243,1,1,0.653179,-0.272236119037498,0.0902994454639657,0.0505404500209419,0.03058122803118
"57","Cluster 1
Increase att",238,231,1,1,0.674157,-0.118024288166037,0.106255699517468,0.0600658410555892,0.112760032922786
"58","Cluster 1
Increase att",208,210,1,1,0.787013,-0.336956916839405,0.09886622671431,0.0897601805998267,-0.119209229159278
"59","Cluster 2
Lower att (bottom)",268,263,1,1,0.654255,-0.566181310567338,-0.252644421695794,0.123443074578979,-0.156020412499889
"60","Cluster 1
Increase att",267,243,1,1,0.667785,-0.290057953744509,0.0856397485558069,0.0256079233877486,0.0170036966532254
"61","Cluster 1
Increase att",215,222,1,1,0.666667,0.128642978980755,0.112332451001629,0.0522202840536161,-0.0507606154107996
"62","Cluster 1
Increase att",196,185,1,1,0.784173,-0.39106992117938,0.210067521298965,0.157964832774952,0.0305216718618803
"63","Cluster 1
Increase att",266,260,1,1,0.612308,0.101095703037825,0.119631414212213,0.146069497216035,0.068352808098335
"64","Cluster 1
Increase att",241,246,1,1,0.764706,0.142462558414091,0.0182191022509479,-0.0326151251119484,0.0361147649690424
"65","Cluster 2
Lower att (bottom)",265,242,1,1,0.619048,-0.176929203793457,-0.217411477279514,0.0628148495261551,0.000648867041731727
"66","Cluster 1
Increase att",246,230,1,1,0.669643,0.224303737442485,0.248652702928212,0.129835208682046,0.115928513688046
"67","Cluster 2
Lower att (bottom)",272,265,0,1,0.339552,-0.2275808791957,-0.163516354124893,-0.193162782394024,0.116179528113936
"68","Cluster 2
Lower att (bottom)",235,229,0,1,0.512953,-0.315608570882592,-0.450034089661836,0.0258081593645942,0.021423896034766
"69","Cluster 1
Increase att",230,224,0,1,0.724,0.0818150653716005,-0.0295239146998756,0.0197963656458806,0.0495047439384328
"70","Cluster 2
Lower att (bottom)",289,291,0,1,0.491176,-0.165404610571636,-0.166674358919952,0.0320388032611826,0.0719857303750557
"71","Cluster 2
Lower att (bottom)",249,247,0,1,0.502959,-0.456015963272633,0.0928196498575636,-0.179396643305748,0.0821093180941518
"72","Cluster 1
Increase att",293,281,0,1,0.625177,-0.204486811056973,0.0799352261419266,0.0506199089273099,0.0547813777822777
"73","Cluster 1
Increase att",232,231,0,1,0.472,0.0608897457787175,0.036644329474894,0.0563585953021619,-0.217187853443403
"74","Cluster 1
Increase att",260,235,0,1,0.477099,-0.0255460769198039,-0.00835601410664388,0.00545689101031899,0.00519199101994028
"75","Cluster 1
Increase att",260,257,0,1,0.58567,0.0752988677147161,-0.0205924536705605,-0.10787345130448,0.0527142626786827
"76","Cluster 1
Increase att",275,271,0,1,0.632735,-0.111194459390643,0.0658833736145734,0.0712020583570332,0.0866060749278904
"77","Cluster 1
Increase att",293,293,0,1,0.493808,0.0256882283502572,0.0523327905454972,0.0336552376529036,0.0305333779618541
"78","Cluster 2
Lower att (bottom)",247,250,0,1,0.613139,0.0912258897634423,0.0597458555862415,-0.200701135255486,0.049347278355091
"79","Cluster 1
Increase att",280,284,0,1,0.462036,-0.0298107658607967,0.0506493359496654,0.0153433345480259,0.0209085849861745
"80","Cluster 1
Increase att",252,268,0,1,0.522023,0.150727837362974,0.0812222205006925,0.0402517037976913,0.0394261270367037
"81","Cluster 1
Increase att",270,262,0,1,0.575458,0.054099784831787,0.10977569779525,0.0664922372243196,0.0643049643641269
"82","Cluster 1
Increase att",256,267,0,1,0.548094,0.0623454496739676,0.1842759516564,-0.10120306189494,0.059378036733609
"83","Cluster 1
Increase att",260,265,0,1,0.491754,0.0921001685700051,0.0642292651696914,0.0521354471843687,0.0427268893627307
"84","Cluster 1
Increase att",244,238,0,1,0.686833,-0.307675013479143,0.0839815678316458,0.0771267650652164,0.0133505070220855
"85","Cluster 2
Lower att (bottom)",222,213,0,1,0.702128,-0.245496319522359,-0.127293389905958,0.0475578718622907,0.00375075538259972
"86","Cluster 1
Increase att",250,270,0,1,0.665198,-0.223313042980924,0.0367865349331182,0.0734737653125489,0.0627055105936497
"87","Cluster 2
Lower att (bottom)",253,243,0,1,0.614035,0.0766257935608221,0.0374956194727247,0.00692468604984042,0.0279482169504144
"88","Cluster 1
Increase att",234,239,0,1,0.633663,-0.0015162566865059,0.0852129632944242,0.0117373132894151,0.0334126772232775
"89","Cluster 1
Increase att",273,286,0,1,0.433265,0.0615007161550659,0.103219801145949,0.0370651658746173,0.0282519275635221
"90","Cluster 1
Increase att",268,264,0,1,0.574751,0.110095775015222,0.0913440170860981,0.0498920132478748,0.0305436855232218
"91","Cluster 2
Lower att (bottom)",257,238,1,1,0.641921,-0.0865303104761346,0.100815504452427,0.0417206454739981,0.0408326595724735
"92","Cluster 1
Increase att",247,227,1,1,0.351548,-0.0354902968723888,0.05979371046694,-0.128072714177217,-0.0508326114742861
"93","Cluster 1
Increase att",257,253,1,1,0.53348,0.020324114084728,0.0585267809291924,0.0672588163853248,0.0434363784977149
"94","Cluster 1
Increase att",217,214,1,1,0.76494,0.142452243694537,-0.0252333841824823,0.116104354307267,0.0870811830269622
"95","Cluster 2
Lower att (bottom)",253,276,1,1,0.628253,-0.239363983058832,-0.112637150171405,0.0348986171290704,0.0520302971122888
"96","Cluster 2
Lower att (bottom)",242,255,1,1,0.577617,-0.41540381262446,0.116249561417467,0.0475642127330662,0.0429772757657948
"97","Cluster 2
Lower att (bottom)",241,243,1,1,0.660156,0.123102553645416,-0.141825241825995,-0.355078951339798,-0.00439162384429626
"98","Cluster 1
Increase att",240,263,1,1,0.663507,0.0142101777306004,0.0224050690459979,0.0403057443274878,-0.00256664564212461
"99","Cluster 2
Lower att (bottom)",261,267,1,1,0.75188,-0.366624012373944,-0.128826208849524,0.0246985426153338,0.0603435222614789
"100","Cluster 1
Increase att",272,264,1,1,0.441624,0.0574085185530058,0.124277716934783,0.00875201307709728,0.0845315254703071
"101","Cluster 1
Increase att",212,213,1,1,0.742739,0.125739192393644,0.0980763223357853,0.0414616530511664,0.0258897371137828
"102","Cluster 2
Lower att (bottom)",230,221,0,1,0.647059,-0.334070448700938,-0.0597532305229733,-0.00107560213412317,0.0416867199721939
"103","Cluster 1
Increase att",231,225,0,1,0.696,0.0392461016894793,0.0116039450873954,0.159304377577015,0.0179480331662505
"104","Cluster 1
Increase att",285,290,0,1,0.306525,0.00288974258372898,0.0641260023403367,0.0813408105699138,0.0550765265060497
"105","Cluster 1
Increase att",276,264,0,1,0.466443,-0.0557057022512204,0.159399195072217,0.0232683995929266,0.100593064348511
"106","Cluster 1
Increase att",279,284,0,1,0.31746,0.0948548569030271,0.0497955936016786,0.0651709956230396,0.0368707379461064
"107","Cluster 1
Increase att",281,271,0,1,0.560345,0.0265726656237748,-0.00162325547652564,0.0240813927598982,0.0218149150041547
"108","Cluster 1
Increase att",276,280,0,1,0.504274,0.0614029089497236,0.0631884389679679,0.044193184092907,0.151061005080184
"109","Cluster 1
Increase att",256,241,0,1,0.493913,0.00605875976347192,0.0449076535170223,0.0452727505426329,0.0327470756651589
"110","Cluster 2
Lower att (bottom)",254,263,0,1,0.671498,-0.412760798103802,-0.0599422722246188,0.070477508668958,0.0381606544247352
"111","Cluster 1
Increase att",273,279,0,1,0.242857,0.0889733302828379,0.0909073556681967,0.0876553625612149,0.036187132930928
"112","Cluster 1
Increase att",272,276,0,1,0.603982,-0.0661064952916477,0.0716445108730659,0.0347084041363676,0.0287027063281908
"113","Cluster 1
Increase att",256,267,0,1,0.512281,0.094195690975821,0.162516989914362,0.0570857155169191,0.0292252313875483
"114","Cluster 1
Increase att",261,260,1,1,0.540453,-0.0473501197783931,0.0864918429878416,0.0888398726104824,0.0444782053532198
"115","Cluster 2
Lower att (bottom)",241,238,1,1,0.464066,-0.0183291980140963,-0.133096311419343,-0.0451623238958333,0.0720113457093642
"116","Cluster 2
Lower att (bottom)",236,236,1,1,0.59633,-0.0504235101734188,-0.246656579638681,-0.117202856686796,0.125787423365671
"117","Cluster 1
Increase att",272,279,0,1,0.310448,0.00260848922245227,-0.0642920123824796,-0.00209058275050933,0.0510580702517887
"118","Cluster 1
Increase att",268,285,0,1,0.328335,0.0422410812887997,-0.00959829094570297,0.0904231699064123,0.0428253112849626
"119","Cluster 1
Increase att",301,319,0,1,0.276596,0.11018344191878,-0.158916467328024,0.0752930138057489,0.0237228414256444
"120","Cluster 1
Increase att",228,227,1,1,0.66055,0.0808352282136023,0.18742426415029,0.0808268546117843,0.0458802568947789
"121","Cluster 2
Lower att (bottom)",231,211,1,1,0.563492,-0.211213377183601,-0.0176298668722326,0.0703054298610037,-0.00471772030244244
"122","Cluster 1
Increase att",235,212,1,1,0.504274,0.138201412977033,0.117774636903106,0.123315239882849,0.0553365093869306
"123","Cluster 1
Increase att",285,298,1,1,0.5,-0.0577908665358146,0.0335560651582131,0.00640685423666931,0.0284103768945511
"124","Cluster 2
Lower att (bottom)",235,233,1,1,0.597052,0.0723693721695294,-0.623906853341482,0.0534736507707674,0.0167465761031258
"125","Cluster 1
Increase att",257,260,1,1,0.395833,-0.361838433695565,0.142400194564488,0.117067041294018,0.00713800518920005
"126","Cluster 1
Increase att",222,214,1,1,0.464286,0.587724097153916,0.402666127132663,0.0218862366105279,0.0235598354462186
"127","Cluster 1
Increase att",234,225,1,1,0.536082,0.0335057955961268,0.189112622871545,-0.00637310366348176,-0.0424304531454684
"128","Cluster 1
Increase att",231,231,1,1,0.60223,0.147216500076605,0.0887686588921207,0.122381751060334,0.0441064051158372
"129","Cluster 1
Increase att",214,219,1,1,0.716102,0.291544908246709,0.0248307354341721,0.0852079301981568,-0.0164989669380546
"130","Cluster 1
Increase att",219,236,1,1,0.716216,-0.299634207871819,-0.0548244511432796,0.0177195836972412,0.0397256013267516
"131","Cluster 1
Increase att",241,234,1,1,0.555377,-0.0600532135102894,0.0209223775752929,0.0606080661616678,-0.101347567746515
"132","Cluster 1
Increase att",231,214,1,1,0.717391,0.356296965550051,-0.162853027806389,0.272552212713574,0.166861057234496
"133","Cluster 1
Increase att",264,249,1,1,0.635015,0.304262975431091,0.0355836715113793,0.0314958534512813,0.0879346657095282
"134","Cluster 2
Lower att (bottom)",211,215,1,1,0.52459,0.0541548725592454,-0.749173081791086,0.217485023004363,0.111989853023313
"135","Cluster 1
Increase att",262,246,1,1,0.607889,-0.0820183321235365,-0.0563004125606466,0.0522314986838663,0.095675226041898
"136","Cluster 2
Lower att (bottom)",226,209,1,1,0.641593,-0.406313688290384,-0.0270782537286429,-0.0215442986853729,-0.0497658796561207
"137","Cluster 1
Increase att",217,211,1,1,0.813187,0.133420750954487,0.24980698731291,0.0403040559733233,0.0224243105076682
"138","Cluster 1
Increase att",231,240,1,1,0.598726,-0.213163563104735,0.172484212273352,0.0956912142232701,0.0333263851983348
"139","Cluster 1
Increase att",243,236,1,1,0.670782,0.271950572958517,-0.131160727614772,0.139399589310688,-0.103862560437407
"140","Cluster 1
Increase att",233,225,1,1,0.626168,0.250812793437467,0.0679664807406151,0.143319315490635,0.172133242114591
"141","Cluster 1
Increase att",223,214,1,1,0.577273,0.168894604453164,0.0860149851672591,0.22059729444051,0.115144969228484
"142","Cluster 1
Increase att",262,259,1,1,0.62963,-0.477432752622992,0.15010008689734,0.0570135329225215,0.0880439967134842
"143","Cluster 1
Increase att",276,264,1,1,0.511568,-0.092225494301588,0.284564307414098,0.0444644581747234,0.00205296799077792
"144","Cluster 2
Lower att (bottom)",253,245,1,1,0.514644,-0.514665394640294,-0.418960852622143,-0.356645017966613,0.0510221477347853
"145","Cluster 1
Increase att",256,273,1,1,0.528604,-0.176446093273245,0.0944395620951327,-0.0689471030398294,-0.0241476765243629
"146","Cluster 1
Increase att",273,281,1,1,0.458599,-0.0968386203502676,0.0863288041800987,0.0884088535971407,0.0325921972279392
"147","Cluster 1
Increase att",205,210,1,1,0.625,-0.299982883775617,0.103907427185688,0.0256810116695585,-0.0290574179404053
"148","Cluster 1
Increase att",234,222,1,1,0.688645,0.116069869156112,0.0560666910725623,0.0591391185352887,0.0454262999412307
"149","Cluster 2
Lower att (bottom)",224,217,1,1,0.542955,-0.258914134069643,-0.165125803856647,0.0630011732847278,0.0296648547232914
"150","Cluster 1
Increase att",238,227,1,1,0.687151,0.103296441049566,0.1201480099729,0.0302167023806308,0.109886181299008
"151","Cluster 1
Increase att",259,238,1,1,0.510753,0.229789368640611,0.23047304460605,0.104594916659751,0.151668032315021
"152","Cluster 1
Increase att",239,224,1,1,0.611111,0.0711280675583486,0.11162608010683,0.0343671798258889,0.0706626990261345
"153","Cluster 1
Increase att",236,228,1,1,0.644231,-0.0913658753327014,0.0518950286902977,0.138298642052895,0.0919891613386529
"154","Cluster 1
Increase att",212,206,1,1,0.756757,0.184502596994465,0.0911563294052753,0.0975415831830504,0.103686201675669
"155","Cluster 1
Increase att",237,225,1,1,0.376147,-0.233946169261662,0.0407122396367464,0.0986298642484995,0.0662649185218424
"156","Cluster 1
Increase att",274,293,0,1,0.398089,0.194595409530881,0.0643740030906537,0.0172985856072667,0.0569832464743165
"157","Cluster 2
Lower att (bottom)",249,245,0,1,0.313008,0.0798796877328087,-0.177193097099563,0.0596366604919758,0.0682652472529565
"158","Cluster 1
Increase att",257,251,0,1,0.563046,0.0545734389823563,-0.042848558163437,0.0489657234540058,0.0307938684531678
"159","Cluster 1
Increase att",198,194,0,1,0.363636,-0.047401046566678,0.0323772240678529,0.0482353496219757,-0.0408430051601276
"160","Cluster 2
Lower att (bottom)",253,258,0,1,0.601686,-0.129661281767748,-0.0386930315908782,0.0552252708135932,0.0150582152881267
"161","Cluster 1
Increase att",270,248,0,1,0.332155,-0.0446947216921094,0.0528532340997245,0.0123421131366697,0.0415973181252925
"162","Cluster 1
Increase att",258,246,0,1,0.47793,0.109673703970586,0.119010705010625,-0.0149761226824271,0.0565941604590936
"163","Cluster 2
Lower att (bottom)",221,237,0,1,0.440083,-0.461650539702181,-0.373587089233856,0.0694797574073377,0.0932336864688915
"164","Cluster 1
Increase att",214,244,0,1,0.536481,0.219023328701716,0.0689816578658474,0.0234635861521109,-0.21247823786116
"165","Cluster 1
Increase att",264,269,0,1,0.412863,0.109942719467631,-0.0193605207663616,0.0465638055951306,0.0124088172995206
"166","Cluster 1
Increase att",271,271,0,1,0.354128,0.0670727255219878,-0.0577517403187721,0.0463915961891816,-0.0498174215007109
"167","Cluster 1
Increase att",274,274,0,1,0.348432,-0.15186522383282,-0.220920591477438,0.0658079349518432,0.046175264315045
"168","Cluster 2
Lower att (bottom)",268,239,0,1,0.433333,-0.738906998117373,0.0271970178572449,0.0104959465776433,0.126186008190159
"169","Cluster 1
Increase att",270,268,0,0,0.291491,-0.0250762572712641,0.0332480118072001,-0.0348254714149596,0.0669493897259994
"170","Cluster 1
Increase att",234,238,0,1,0.407059,0.0731686150935068,0.0983886342524704,0.0977632890172264,0.102553783962316
"171","Cluster 1
Increase att",269,278,0,1,0.591241,-0.537594051256491,0.169014201345889,0.0115105068667534,0.0646826585503861
"172","Cluster 1
Increase att",294,292,0,0,0.137349,0.0743193913659522,0.0613622970399129,0.0216372580870323,0.0107213964930499
"173","Cluster 1
Increase att",277,281,0,1,0.353043,0.0711655401661454,-0.0116759860572572,0.0555685970884395,0.0462924524974524
"174","Cluster 1
Increase att",255,256,0,1,0.520951,-0.0216601194432124,-0.0739496679732353,0.0692633302213359,-0.0401982600841846
"175","Cluster 1
Increase att",251,223,0,0,0.530055,0.170591356142995,0.0505248857840572,0.131350897982449,0.0589599351086258
"176","Cluster 1
Increase att",280,267,0,0,0.230548,-0.0241375993200924,-0.102303058742816,0.0122769199955013,0.0215886063735292
"177","Cluster 1
Increase att",289,274,0,1,0.247756,0.119467219747702,0.0722252702158128,0.0674535515606233,0.0234377005837904
"178","Cluster 1
Increase att",247,245,0,1,0.332203,0.105417993006978,0.102465693421986,0.0412840063352073,0.0261520685942999
"179","Cluster 2
Lower att (bottom)",272,271,0,1,0.461394,-0.761689889957907,0.127015917924465,0.0440609481843521,-0.115620954086268
"180","Cluster 1
Increase att",259,258,0,1,0.525316,-0.0970062402544953,0.0044983066584382,0.0309109014113378,0.0490892908942419
"181","Cluster 1
Increase att",250,245,0,1,0.674923,-0.622567106241823,0.159040056749412,0.116271269448562,0.0261793734346738
"182","Cluster 2
Lower att (bottom)",217,228,0,1,0.570833,0.0924351481094522,-0.0658757309373943,-0.319709697066839,0.0222892252220666
"183","Cluster 1
Increase att",284,287,0,1,0.623529,0.0758831358745119,0.147543415278103,0.0176888991687596,0.351112052712195
"184","Cluster 1
Increase att",261,255,0,1,0.550489,-0.00474701588124382,-0.0406988693883107,0.0722541547679701,0.101086137461139
"185","Cluster 1
Increase att",271,272,0,1,0.465465,-0.154172800402493,0.133119397330454,0.0430870078553027,0.0335735115815941
"186","Cluster 2
Lower att (bottom)",247,239,0,1,0.559441,-0.508422677534326,0.0699403977295646,0.0600880725376082,0.0951094557043382
"187","Cluster 1
Increase att",248,264,0,1,0.511364,0.0960640831668881,-0.23520666370153,0.00186183583087818,0.00281514485883161
"188","Cluster 2
Lower att (bottom)",235,235,0,1,0.353612,0.0992154132843499,-0.230634154197607,-0.305134713777406,0.105876052999313
"189","Cluster 1
Increase att",246,250,0,1,0.417178,-0.135963677193599,0.0943060725746914,0.0383358132867752,0.0782049332931937
"190","Cluster 1
Increase att",261,292,1,1,0.715074,-0.055034671104623,-0.074584849751517,-0.00176030994925735,0.0261674320616957
"191","Cluster 1
Increase att",261,302,1,1,0.711572,0.0499268347038384,-0.166164678638093,0.0589915398087107,-0.00147190735817238
"192","Cluster 1
Increase att",274,293,1,1,0.750455,0.0405196148473449,0.0757833262892964,-0.00887254700699414,-0.132305658841846
"193","Cluster 2
Lower att (bottom)",267,284,1,1,0.723711,-0.518682055456211,0.209842803497277,-0.0601120146045482,-0.0308670167307517
"194","Cluster 2
Lower att (bottom)",235,224,1,1,0.729483,-1.24971755613719,-0.546144816137162,0.0366795236388756,0.0371740588431984
"195","Cluster 1
Increase att",255,255,1,1,0.592251,-0.0300054551855164,0.011986488747734,0.0624728078054809,0.0356868090079253
"196","Cluster 2
Lower att (bottom)",228,239,1,1,0.60177,-0.136303707918337,0.0580465107106147,0.022797693333197,0.00451768596127222
"197","Cluster 2
Lower att (bottom)",250,248,1,1,0.636656,-0.423347097087453,-0.461208223336181,0.038912516910892,-0.0122845304571084
"198","Cluster 1
Increase att",275,266,1,1,0.51145,0.0974948895919523,-0.158771566905578,0.0237108549133427,0.0286998287604671
"199","Cluster 1
Increase att",284,269,1,1,0.543147,0.0902398120452897,0.105572366220729,0.229176482077194,0.10623106792415
"200","Cluster 1
Increase att",261,253,0,1,0.634361,0.0597770162657544,-0.0488953059261211,0.0367141845442716,0.0623795617896292
"201","Cluster 1
Increase att",287,284,0,1,0.32872,-0.105897677089976,0.0438788532086845,0.0486191512814873,0.0450893065277262
"202","Cluster 2
Lower att (bottom)",231,239,1,1,0.742268,-0.269528159221654,-0.037215540369533,0.0315275332767229,-0.0152981857797714
"203","Cluster 2
Lower att (bottom)",259,232,1,1,0.731225,-0.0662963466605566,-0.199483000007773,0.016385359062409,-0.00580151954820995
"204","Cluster 1
Increase att",249,239,1,1,0.562827,-0.068817903910149,0.0426097553067388,0.0132650533490718,0.0185117520223821
"205","Cluster 2
Lower att (bottom)",248,245,1,1,0.644118,-0.122422448718431,0.0266872227035573,0.00495182396840466,-0.349145569437522
"206","Cluster 1
Increase att",246,242,1,1,0.758389,-0.11618647372375,0.143716879123007,0.0284942558537645,0.027438990645109
"207","Cluster 1
Increase att",253,245,1,1,0.558252,-0.0788952550349343,0.173823016238701,0.0406118458231939,0.135621600275723
"208","Cluster 1
Increase att",264,261,1,1,0.578125,-0.192683999744111,0.107444708016886,0.0112945959595576,-0.020632715514997
"209","Cluster 1
Increase att",225,206,1,1,0.833333,0.255254427306789,0.126371028555339,0.0353870599962864,0.123929434462728
"210","Cluster 2
Lower att (bottom)",257,244,1,1,0.72043,-0.63036847189309,0.06878604437083,-0.00167981055339661,0.0198785045789638
"211","Cluster 1
Increase att",247,271,0,1,0.590909,-0.032963018243509,0.154859078628534,0.0561042224121711,0.0838020543487773
"212","Cluster 1
Increase att",261,244,1,1,0.771429,-0.267223567315682,-0.0452125843587294,0.0136785340001672,0.0657217546574234
